                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.75035,                0.46927,                0.90035,                0.96987,                0.94944,                0.98611,                 0.7614,                0.90142,                0.45806,                0.93861,              0.0007856,              0.0007856,              0.0007856
                     94,                0.76298,                0.47463,                0.89825,                0.96963,                 0.9419,                0.98193,                0.77123,                0.86318,                0.46956,                0.92851,              0.0007724,              0.0007724,              0.0007724
                     95,                0.75858,                0.47804,                0.90476,                0.93806,                0.94395,                0.97446,                0.76673,                0.86751,                0.47455,                 0.9284,              0.0007592,              0.0007592,              0.0007592
                     96,                  0.759,                0.47354,                0.90329,                0.97173,                0.95575,                 0.9896,                0.76495,                0.85927,                0.43559,                0.92452,               0.000746,               0.000746,               0.000746
                     97,                0.74243,                0.46072,                0.89259,                0.97334,                0.96932,                0.99065,                0.77073,                0.85714,                0.43813,                0.92444,              0.0007328,              0.0007328,              0.0007328
                     98,                0.75176,                0.46729,                0.90344,                0.98867,                 0.9469,                 0.9914,                0.77109,                0.87178,                0.44467,                0.94023,              0.0007196,              0.0007196,              0.0007196
                     99,                0.72855,                0.46269,                0.89635,                0.97576,                0.94992,                0.98919,                0.76363,                0.88294,                0.44554,                0.94126,              0.0007064,              0.0007064,              0.0007064
                    100,                 0.7398,                0.45389,                0.90458,                0.98817,                0.94985,                0.99168,                0.77847,                0.86381,                0.42487,                0.93421,              0.0006932,              0.0006932,              0.0006932
                    101,                0.75148,                0.45963,                0.90424,                0.99082,                0.95498,                0.98926,                 0.7795,                0.86504,                0.44146,                0.93625,                0.00068,                0.00068,                0.00068
                    102,                0.73081,                0.44273,                 0.8954,                0.97017,                0.95575,                0.98925,                0.77204,                0.87018,                0.42677,                0.93688,              0.0006668,              0.0006668,              0.0006668
                    103,                 0.7252,                0.45269,                0.89019,                0.97283,                0.96755,                0.99042,                0.77905,                0.85266,                0.42511,                 0.9207,              0.0006536,              0.0006536,              0.0006536
                    104,                0.71736,                0.45148,                0.90003,                0.98208,                0.96971,                0.99362,                0.77689,                0.84979,                0.40361,                0.91516,              0.0006404,              0.0006404,              0.0006404
                    105,                0.70402,                0.44564,                0.89423,                0.97916,                 0.9702,                0.99248,                0.77958,                0.85911,                0.40855,                0.92143,              0.0006272,              0.0006272,              0.0006272
                    106,                0.72549,                0.44141,                0.89863,                0.98992,                0.95575,                0.99035,                0.76899,                 0.8676,                0.42191,                0.92386,               0.000614,               0.000614,               0.000614
                    107,                0.70717,                0.44451,                0.89317,                0.98419,                0.95575,                0.98702,                0.77226,                0.86339,                0.42781,                0.92592,              0.0006008,              0.0006008,              0.0006008
                    108,                0.70577,                0.44855,                0.88925,                0.99634,                0.94985,                0.99034,                0.77685,                0.86475,                0.43615,                 0.9278,              0.0005876,              0.0005876,              0.0005876
                    109,                0.72021,                0.44775,                0.89106,                0.99057,                 0.9587,                0.99175,                0.77481,                0.89681,                 0.4305,                0.93346,              0.0005744,              0.0005744,              0.0005744
                    110,                0.71994,                0.44589,                0.89454,                0.99592,                0.96165,                0.99242,                0.77317,                0.87059,                0.41226,                0.92566,              0.0005612,              0.0005612,              0.0005612
                    111,                0.71715,                0.44126,                0.89316,                0.96152,                 0.9583,                0.98799,                0.77069,                0.87643,                0.44331,                0.92737,               0.000548,               0.000548,               0.000548
                    112,                0.71018,                0.43984,                0.89107,                0.96762,                 0.9698,                0.99209,                0.77517,                 0.8724,                0.42084,                0.92458,              0.0005348,              0.0005348,              0.0005348
                    113,                0.70442,                0.43459,                 0.8888,                 0.9763,                0.97193,                0.99238,                0.78826,                0.83895,                0.40625,                0.91495,              0.0005216,              0.0005216,              0.0005216
                    114,                0.70169,                0.43107,                0.89507,                0.96778,                 0.9764,                0.99182,                0.78669,                0.83969,                0.41398,                0.91383,              0.0005084,              0.0005084,              0.0005084
                    115,                0.69734,                0.42632,                0.89251,                0.98776,                0.95209,                0.99133,                 0.7823,                0.84459,                0.41372,                0.91471,              0.0004952,              0.0004952,              0.0004952
                    116,                0.68902,                0.41867,                0.88397,                0.98653,                 0.9587,                0.99132,                0.78166,                0.82591,                0.40323,                0.90996,               0.000482,               0.000482,               0.000482
                    117,                0.68642,                0.42433,                0.88767,                0.96856,                 0.9764,                0.98969,                0.79058,                0.82402,                0.39744,                0.90703,              0.0004688,              0.0004688,              0.0004688
                    118,                0.68568,                0.41984,                0.87723,                0.97281,                 0.9823,                0.99069,                0.79503,                0.83029,                0.39508,                0.91112,              0.0004556,              0.0004556,              0.0004556
                    119,                0.66712,                0.40455,                0.88205,                0.97648,                 0.9705,                0.99257,                0.79282,                0.83752,                0.40072,                0.91759,              0.0004424,              0.0004424,              0.0004424
                    120,                0.67579,                0.40947,                0.88882,                0.98098,                 0.9764,                0.99235,                0.79096,                0.83896,                0.40415,                0.91606,              0.0004292,              0.0004292,              0.0004292
                    121,                 0.6779,                0.41739,                 0.8765,                0.98777,                 0.9764,                0.99153,                0.78972,                0.83711,                0.39418,                0.91474,               0.000416,               0.000416,               0.000416
                    122,                0.66706,                0.41496,                0.87859,                0.98729,                0.97345,                0.99117,                0.78836,                0.83897,                0.39457,                0.91644,              0.0004028,              0.0004028,              0.0004028
                    123,                0.66922,                0.41428,                0.88524,                0.98212,                0.97194,                0.99034,                0.78753,                0.82996,                0.40477,                0.91406,              0.0003896,              0.0003896,              0.0003896
                    124,                0.66929,                0.41586,                0.88452,                0.98672,                0.97345,                0.99069,                0.78607,                0.84236,                0.39377,                0.91994,              0.0003764,              0.0003764,              0.0003764
                    125,                0.66832,                0.40635,                0.87526,                0.97359,                 0.9788,                0.99186,                 0.7868,                0.83091,                0.38832,                0.91843,              0.0003632,              0.0003632,              0.0003632
                    126,                0.64276,                0.39086,                0.86936,                 0.9939,                0.96144,                0.99153,                0.79495,                0.82782,                0.38881,                0.91602,                0.00035,                0.00035,                0.00035
                    127,                 0.6579,                0.41218,                0.88494,                0.98456,                 0.9764,                0.99235,                0.79498,                0.82921,                0.39036,                0.91526,              0.0003368,              0.0003368,              0.0003368
                    128,                0.64095,                0.40033,                0.87503,                0.98509,                0.97441,                0.99199,                0.78644,                0.85171,                0.39611,                0.91989,              0.0003236,              0.0003236,              0.0003236
                    129,                0.65866,                0.40945,                 0.8848,                0.97921,                0.97277,                 0.9908,                0.79417,                0.84154,                 0.3902,                0.91922,              0.0003104,              0.0003104,              0.0003104
                    130,                0.63771,                0.39853,                0.87936,                0.97635,                0.97432,                0.99174,                0.79178,                0.84316,                0.39451,                0.91849,              0.0002972,              0.0002972,              0.0002972
                    131,                 0.6399,                0.39134,                0.87637,                0.98219,                0.97935,                0.99207,                0.78822,                 0.8505,                0.38712,                0.92205,               0.000284,               0.000284,               0.000284
                    132,                0.62859,                0.39031,                0.87394,                 0.9822,                0.97667,                0.99307,                0.79337,                0.84732,                0.38339,                0.92131,              0.0002708,              0.0002708,              0.0002708
                    133,                0.64324,                0.39227,                0.87126,                0.99107,                0.98173,                0.99352,                0.78906,                0.84567,                0.38124,                0.91842,              0.0002576,              0.0002576,              0.0002576
                    134,                0.62835,                 0.3832,                0.87063,                0.97875,                 0.9823,                0.99299,                 0.7899,                0.83411,                0.38451,                 0.9138,              0.0002444,              0.0002444,              0.0002444
